pose_x,pose_y,pose_z,orientation_x,orientation_y,orientation_z,orientation_w,steering_tire_angle,steering_tire_rotation_rate,acceleration,speed,jerk
5.409948,-0.651466,0.0,0.0,0.0,-0.018655,0.999826,0.011734,0.0,0.597102,6.42287,0.0
5.444316,-0.652833,0.0,0.0,0.0,-0.01864,0.999826,0.011734,0.0,0.597102,6.42287,0.0
5.47869,-0.6542,0.0,0.0,0.0,-0.018625,0.999827,0.011734,0.0,0.597102,6.42287,0.0
5.547772,-0.657839,0.0,0.0,0.0,-0.017403,0.999849,0.012137,0.0,0.597353,6.44233,0.0
5.573336,-0.658831,0.0,0.0,0.0,-0.017303,0.99985,0.012137,0.0,0.597353,6.44233,0.0
5.620694,-0.660669,0.0,0.0,0.0,-0.017118,0.999853,0.012137,0.0,0.597353,6.44233,0.0
5.653305,-0.660294,0.0,0.0,0.0,-0.016475,0.999864,0.013693,0.0,0.596394,6.45814,0.0
5.68493,-0.661456,0.0,0.0,0.0,-0.016279,0.999867,0.013693,0.0,0.596394,6.45814,0.0
5.708854,-0.662335,0.0,0.0,0.0,-0.016131,0.99987,0.013693,0.0,0.596394,6.45814,0.0
5.746123,-0.663704,0.0,0.0,0.0,-0.0159,0.999874,0.01382,0.0,0.596029,6.471124,0.0
5.751251,-0.663893,0.0,0.0,0.0,-0.015869,0.999874,0.01382,0.0,0.596029,6.471124,0.0
5.812157,-0.664282,0.0,0.0,0.0,-0.015019,0.999887,0.015654,0.0,0.597614,6.486157,0.0
5.837991,-0.665186,0.0,0.0,0.0,-0.014807,0.99989,0.015654,0.0,0.597614,6.486157,0.0
5.873666,-0.666434,0.0,0.0,0.0,-0.014515,0.999895,0.015125,0.0,0.595843,6.496551,0.0
5.880887,-0.666686,0.0,0.0,0.0,-0.014456,0.999896,0.015125,0.0,0.595843,6.496551,0.0
5.927046,-0.670229,0.0,0.0,0.0,-0.013685,0.999906,0.016304,0.0,0.595916,6.507253,0.0
5.963285,-0.67143,0.0,0.0,0.0,-0.013333,0.999911,0.016304,0.0,0.595916,6.507253,0.0
6.00028,-0.672655,0.0,0.0,0.0,-0.012973,0.999916,0.016304,0.0,0.595916,6.507253,0.0
6.013837,-0.673104,0.0,0.0,0.0,-0.012841,0.999918,0.016304,0.0,0.595916,6.507253,0.0
6.0778,-0.67569,0.0,0.0,0.0,-0.011974,0.999928,0.018871,0.0,0.597271,6.525663,0.0
6.104175,-0.676482,0.0,0.0,0.0,-0.011686,0.999932,0.018871,0.0,0.597271,6.525663,0.0
6.210267,-0.679915,0.0,0.0,0.0,-0.010108,0.999949,0.020308,0.0,0.597437,6.541398,0.0
6.269706,-0.68153,0.0,0.0,0.0,-0.00941,0.999956,0.020308,0.0,0.597437,6.541398,0.0
6.286391,-0.681983,0.0,0.0,0.0,-0.009214,0.999958,0.020816,0.0,0.596105,6.552988,0.0
6.347365,-0.684227,0.0,0.0,0.0,-0.008183,0.999967,0.02188,0.0,0.596572,6.564755,0.0
6.347365,-0.684227,0.0,0.0,0.0,-0.008183,0.999967,0.02188,0.0,0.596572,6.564755,0.0
6.42268,-0.686,0.0,0.0,0.0,-0.007235,0.999974,0.02188,0.0,0.596572,6.564755,0.0
6.453805,-0.685626,0.0,0.0,0.0,-0.006486,0.999979,0.022496,0.0,0.596061,6.575421,0.0
6.515379,-0.686869,0.0,0.0,0.0,-0.005638,0.999984,0.022496,0.0,0.596061,6.575421,0.0
6.552938,-0.687627,0.0,0.0,0.0,-0.00512,0.999987,0.023298,0.0,0.596479,6.584868,0.0
6.552938,-0.687627,0.0,0.0,0.0,-0.00512,0.999987,0.023269,0.0,0.596844,6.601126,0.0
